Sample_ID	Y haplogroup calls
S11622.E1.L1_d	A
S10594.E1.L1_d	A
S11055.E1.L1_d	A
S10587.E1.L1_d	A
S11624.E1.L1_d	A
S10785.E1.L1_d	A
S10591.E1.L1_d	A
S10581.E1.L1_d	A
S10532.E1.L1_d	A
S11064.E1.L1_d	A
S10534.E1.L1_d	A
S10582.E1.L1_d	A
S10588.E1.L1_d	A
S10786.E1.L1_d	A
S10783.E1.L1_d	A
S12892.E1.L1_d	A
S12890.E1.L1_d	A
S12424.E1.L1_d	A
S12408.E1.L1_d	A
S12419.E1.L1_d	A
S12407.E1.L1_d	A
S12403.E1.L1_d	A
S12410.E1.L1_d	A
S12416.E1.L1_d	A
S12893.E1.L1_d	A
S12891.E1.L1_d	A
S12812.E1.L1_d	A
S12883.E1.L1_d	A
S12423.E1.L1_d	A
S12817.E1.L1_d	A
S12428.E1.L1_d	A
S12429.E1.L1_d	A
S12811.E1.L1_d	A
S12413.E1.L1_d	A
S12405.E1.L1_d	A
S12894.E1.L1_d	A
S13185.Y1.E1.L1	A
S13208.Y1.E1.L1_d	A
S13181.Y1.E1.L1_d	A
S13187.Y1.E1.L1_d	A
S13169.Y1.E1.L1_d	A
S13174.Y1.E1.L1_d	A
S13230.Y1.E1.L1_d	A
S13231.Y1.E1.L1_d	A
S13190.Y1.E1.L1_d	A
S13195.Y1.E1.L1_d	A
S13210.Y1.E1.L1_d	A
S13237.Y1.E1.L1_d	A
S13244.Y1.E1.L1_d	A
S13245.Y1.E1.L1_d	A
S13232.Y1.E1.L1_d	A
S13238.Y1.E1.L1_d	A
S13173.Y1.E1.L1_d	A
S13175.Y1.E1.L1_d	A
S13211.Y1.E1.L1_d	A
S13196.Y1.E1.L1_d	A
S13222.Y1.E1.L1_d	A
S13167.Y1.E1.L1_d	A
S13189.Y1.E1.L1_d	A
S13236.Y1.E1.L1_d	A
S13223.Y1.E1.L1_d	A
S13233.Y1.E1.L1_d	A
S13239.Y1.E1.L1_d	A
S13221.Y1.E1.L1_d	A
S13184.Y1.E1.L1_d	A
S13192.Y1.E1.L1_d	A
S13186.Y1.E1.L1_d	A
S13204.Y1.E1.L1_d	A
S13200.Y1.E1.L1_d	A
S13213.Y1.E1.L1_d	A
S13212.Y1.E1.L1_d	A
S13183.Y1.E1.L1_d	A
S13176.Y1.E1.L1_d	A
S13228.Y1.E1.L1_d	A
S13198.Y1.E1.L1_d	A
S12294.E1.L1_d	A
S12209.E1.L1_d	A
S12258.E1.L1_d	A
S6441.E1.L8_d	A
S6491.E1.L7_d	A
S4251.E1.L4_d	A
S6491.E1.L6_d	A
S12317.E1.L1_d	A
S12260.E1.L1_d	A
S10873.E1.L2_d	A
S10872.E1.L2_d	A
S12292.E1.L1_d	A
S12207.E1.L1_d	A
S6441.E1.L7_d	A
S12758.Y1.E1.L1_d	A
S12718.Y1.E1.L1_d	A
S12731.Y1.E1.L1_d	A
S12716.Y1.E1.L1_d	A
S12759.Y1.E1.L1_d	A
S12737.Y1.E1.L1_d	A
S12738.Y1.E1.L1_d	A
S12719.Y1.E1.L1_d	A
S12780.Y1.E1.L1_d	A
S12774.Y1.E1.L1_d	A
S12781.Y1.E1.L1_d	A
S12740.Y1.E1.L1_d	A
S12745.Y1.E1.L1_d	A
S12765.Y1.E1.L1_d	A
S12760.Y1.E1.L1_d	A
S12794.Y1.E1.L1_d	A
S12744.Y1.E1.L1_d	A
S12795.Y1.E1.L1_d	A
S12782.Y1.E1.L1_d	A
S12723.Y1.E1.L1_d	A
S12761.Y1.E1.L1_d	A
S12751.Y1.E1.L1_d	A
S12772.Y1.E1.L1_d	A
S12732.Y1.E1.L1_d	A
S12739.Y1.E1.L1_d	A
S12793.Y1.E1.L1_d	A
S12786.Y1.E1.L1_d	A
S12773.Y1.E1.L1_d	A
S12791.Y1.E1.L1_d	A
S12783.Y1.E1.L1_d	A
S12785.Y1.E1.L1_d	A
S12777.Y1.E1.L1_d	A
S12764.Y1.E1.L1_d	A
S12713.Y1.E1.L1_d	A
S12771.Y1.E1.L1_d	A
S12747.Y1.E1.L1_d	A
S12735.Y1.E1.L1_d	A
S12734.Y1.E1.L1_d	A
S12715.Y1.E1.L1_d	A
S12720.Y1.E1.L1_d	A
S12728.Y1.E1.L1_d	A
S12741.Y1.E1.L1_d	A
S12762.Y1.E1.L1_d	A
S12726.Y1.E1.L1_d	A
S12778.Y1.E1.L1_d	A
S12775.Y1.E1.L1_d	A
S12748.Y1.E1.L1_d	A
S12536a.E1.L1	A
S12522.E1.L1	A
S12532.E1.L1	A
S12297.E1.L1	A
S12514.E1.L1_d	A
S12301.E1.L1_d	A
S12233.E1.L1_d	A
S12300.E1.L1_d	A
S12241.E1.L1_d	A
S12307.E1.L1_d	A
S12234.E1.L1_d	A
S12512.E1.L1_d	A
S12242.E1.L1_d	A
S12235.E1.L1_d	A
S12298.E1.L1_d	A
S12239.E1.L1_d	A
S12249.E1.L1_d	A
S12248.E1.L1_d	A
S12243.E1.L1_d	A
S12246.E1.L1_d	A
S12533.E1.L1_d	A
S12379.E1.L1_d	A
S12296.E1.L1_d	A
S12231.E1.L1_d	A
S12384.E1.L1_d	A
S12304.E1.L1_d	A
S12517.E1.L1_d	A
S12515.E1.L1_d	A
S10871.E1.L4_d	A
S10871.E1.L3_d	A
S10427.E1.L6_d	A
S10427.E1.L7_d	A
S10427.E1.L8_d	A
I7173	A
I4142	A
Vestonice15_d	A
Vestonice14_d	A
ABI921	A
I2057	A
E09625_d	A
I2543	A
I4060_d	A
I4061_d	A
I2854	A
I2954	A
I2955	A
I1765_d	A
I4369	A
dong_M12.SG	A
dong_M827.SG	A
Ancestor.REF	A
Href.REF	A
Chimp.REF	A
I5034	A
I9057_d	A
I4504	A
I4839	A
I4947	A
I4948	A
mondal_BIR-14.SG	A
I4933	A
I5656	A
I5993	A
I5996	A
I6189	A
I6190	A
I6466	A
I6585	A
I1279	A
I1311	A
I3453	A
I6117	A
I6118	A
I6122	A
I6310	A
I6318	A
I6368	A
I6421	A
LesCloseaux13_d_published	A
HohleFels79_d_published	A
GoyetQ376-19_d_published	A
KBD002.A0101	A
doo001.SG	A
I6912	A
I3890	A
I7262	A
I7387	A
I7458	A
XVII-B-939.SG	A
I7383	A
I7452	A
I7398	A
S5472.E1.L2	A
I8247	A
I1265_reduced_d	A
MA575.SG	A
I4019	A
I0589	A
MARC1492.SG	A
I0589.SG	A
I10209	A
I10269	A
I10367	A
I10691	A
I10840	A
Iboussieres39_d_published	A
I10973	A
I11162	A
I11432	A
I11488	A
I4785	A
I5267	A
I5268	A
I7763	A
I7872	A
I7889	A
I8412	A
I8765	A
I8830	A
I8936	A
I8958	A
I3280	A
I3289	A
I8213	A
I3592_d	A
S12109.Y1.E1.L1	A00
I10871.SG	A00
S10871.E1.L2	A00
S10871.E1.L4	A00
S10871.E1.L3	A00
I10871	A00
Spy_final.SG	A0-T
I5545	A0-T
HG02982.SG	A0a1
HG01890.SG	A0b
I7158	A1
I3827	A1
HG02613.SG	A1a
HG02645.SG	A1a
HG02666.SG	A1a
S11337.L1	A1b
I6457	A1b
I8163	A1b
I8758	A1b
bab001.SG	A1b1b2
I8804	A1b1b2
I9133.SG	A1b1b2a
I9028.SG	A1b1b2a
baa001.SG	A1b1b2a
S12307.E1.L1	A1b1b2b
I8919	A1b1b2b
I7222.SG	BT
I7438.SG	BT
S11098.E1.L1	BT
S10448.E1.L1	BT
S10180.L1	BT
S11921.E1.L1	BT
S11948.E1.L1	BT
S11918.E1.L1	BT
S11916.E1.L1	BT
S11914.E1.L1	BT
S5891.E1.L9	BT
S11380.L1	BT
S10629.E1.L1	BT
S6188.E1.L9	BT
S11036.E1.L1	BT
S6341.E1.L2	BT
S10542.E1.L1	BT
S10760.E1.L2	BT
S12046.Y1.E1.L1	BT
S12103.Y1.E1.L1	BT
LU-02.SG	BT
SN-44.SG	BT
S11110.E1.L1	BT
S12095.E1.L1	BT
S10522.E1.L1	BT
I2407_published	BT
Mezmaiskaya2_final.SG	BT
vik_nuf002	BT
S3995.E1.L4	BT
S11562.E1.L1	BT
S12997.Y1.E1.L1	BT
S12956.Y1.E1.L1	BT
S12506.Y1.E1.L1	BT
S12436.Y1.E1.L1	BT
S11273.E1.L1	BT
S10534.E1.L1	BT
S13211.Y1.E1.L1	BT
S13167.Y1.E1.L1	BT
S13200.Y1.E1.L1	BT
S13242.Y1.E1.L1	BT
S12019.E1.L1	BT
S6457.E1.L3	BT
S6457.E1.L4	BT
I0709	BT
S12784.Y1.E1.L1	BT
S12246.E1.L1	BT
S12296.E1.L1	BT
I6793	BT
BR2.SG	BT
KO1.SG	BT
Anzick.SG	BT
I7101	BT
RISE386.SG	BT
RISE598.SG	BT
RISE602.SG	BT
NE6.SG	BT
mota.SG	BT
KK1.SG	BT
I3764	BT
I3133	BT
I3132	BT
I3389	BT
I3743	BT
I3753	BT
I3907	BT
I4052	BT
I4064	BT
I0573	BT
I2614	BT
I2741	BT
I3542	BT
I3596_published	BT
I4295	BT
I4319	BT
I4359	BT
I4448	BT
I4809	BT
HG00382.SG	BT
DolmenAnsiao96B.SG	BT
Sanganji_131421-3_A1.SG	BT
HG03744.SG	BT
HG04219.SG	BT
NA18874.SG	BT
I4501	BT
I4621	BT
I5508	BT
I5894	BT
I5954	BT
I5956	BT
mondal_BR1-6.SG	BT
mondal_IL-07.SG	BT
mondal_IL-08.SG	BT
mondal_RAI-11.SG	BT
mondal_RAI-3.SG	BT
mondal_RIA-23.SG	BT
mondal_VV1-14.SG	BT
I1878	BT
I2495_all	BT
I3124_all	BT
I3613_all	BT
I3705_all	BT
I3706_all	BT
I3731_all	BT
I3736_all	BT
I3911_all	BT
I4106_all	BT
I4269_all	BT
I4280_all	BT
I5606	BT
I6058	BT
I6233	BT
I6260	BT
I6270	BT
I6278	BT
I6481	BT
I6531	BT
I6535	BT
I6589	BT
I4581_all	BT
M96.SG	BT
I2786_all	BT
I1208	BT
I3216	BT
I6120	BT
I3911	BT
I4238	BT
I6430	BT
I1695	BT
I4570	BT
ERS1790732.SG	BT
I4468_all_published	BT
I4427_all_published	BT
VEK008.A0101	BT
I3893	BT
I7013	BT
I7144	BT
I7095	BT
I6924	BT
I6858	BT
I6879	BT
I6891	BT
I3276	BT
I6370	BT
BI16.SG	BT
I7385	BT
I7619	BT
I7342_d	BT
BC28.SG	BT
Gyvakarai1_10bp	BT
Kivutkalns19	BT
I8790	BT
TAF013	BT
I2966.SG	BT
Bar31.SG	BT
I10168	BT
I10282	BT
AH2.SG	BT
I10679	BT
I10836	BT
I10872	BT
I11225	BT
I11460	BT
I11461	BT
I5265	BT
I5762	BT
I6375	BT
I7597	BT
I7819	BT
I7865	BT
I7891	BT
I7900	BT
I7904	BT
I7921	BT
I7986	BT
I7209	BT
I8031	BT
I8084	BT
I8388	BT
I8423	BT
I8445	BT
I7216	BT
I8552	BT
I8930	BT
I3996	BT
I4208_all	BT
I4468_all	BT
I10160	BT
I2407	BT
Bul4	BT
I4468	BT
I6363	BT
atp002.SG	BT
mur.SG	BT
DA162.SG	BT
DA223.SG	BT
