Sample_ID	Master ID	Skeletal code	Skeletal element	LibraryID(s)	Data type	14C date(s) that are newly published in this study	Study in which DNA was published	Associated authors if this is a newly reported sample	Average of 95.4% date range in calBP (defined as 1950 CE)  	"Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age B, Lab number) e.g. 5983-5747 calBCE (6980±50 B B, Beta-226472). (Format 2) Archaeological context date B, e.g. 2500-1700 BCE"	Period	Analysis label	Culture label	Passed all analysis filters	Location	Country	Deme	Lat.	Long.	Sex	mtDNA best (>2x)	Coverage at autosomal SNPs in the ~1.2 million target set	Number of the ~1.2 million SNPs hit (autosomes only)	Assessment of data quality (notes in parentheses)	X-contamination point estimate from ANGSD if male and ≥200 SNPs	X-contamination Z-score from ANGSD if male and ≥200 SNPs	UDG treatment (minus=untreated; half=treated except in last nucleotides; plus=treated over all nucleotides)	Number of new dates reported in this study	Get date?	Count of entries for samples with newly reported data	Missing archaeological description	Missing skeletal code(s)	Missing latitude / longitude	language	clinal status
I6113	I6113	"RGR 7.3, BR-01, HS-02"	petrous			no 14C date	This study	Vasant Shinde	4300	2800-1900 BCE	BA	Rakhigarhi_BA_Harappan	Rakhigarhi_BA_Harappan	Yes	Rakhigarhi	India	South Asia	29.289223	76.112417	F	U2b2		31760	PASS				0	..	1	..	..	..		..
S_Mbuti-2.DG	HGDP00476	HGDP00476	n/a	S_Mbuti-2	Shotgun.diploid	no 14C date	MallickNature2016	n/a (modern)	0	present	PD	Mbuti.DG	Mbuti.DG	Yes	..	Congo	Africa	1	29	F	..	38.3	1118300	PASS	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
A_Mbuti-5.DG	A_Mbuti-5	A_Mbuti-5	n/a	A_Mbuti-5	Shotgun.diploid	no 14C date	MeyerScience2012	n/a (modern)	0	present	PD	Mbuti.DG	Mbuti.DG	Yes	..	Congo	Africa	1	29	M	..	24.34	1149957	PASS	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
S_Mbuti-3.DG	HGDP00449	HGDP00449	n/a	S_Mbuti-3	Shotgun.diploid	no 14C date	MallickNature2016	n/a (modern)	0	present	PD	Mbuti.DG	Mbuti.DG	Yes	..	Congo	Africa	1	29	M	..	38.78	1116564	PASS	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
S_Mbuti-1.DG	HGDP00474	HGDP00474	n/a	S_Mbuti-1	Shotgun.diploid	no 14C date	MallickNature2016	n/a (modern)	0	present	PD	Mbuti.DG	Mbuti.DG	Yes	..	Congo	Africa	1	29	M	..	41.77	1113571	PASS	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
B_Mbuti-4.DG	HGDP00982	HGDP00982	n/a	B_Mbuti-4	Shotgun.diploid	no 14C date	PrueferNature2013	n/a (modern)	0	present	PD	Mbuti.DG	Mbuti.DG	Yes	..	Congo	Africa	1	29	M	..	39.59	1111710	PASS (SGDP version of published data)	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
mota.SG	mota	Mota	petrous	..	Shotgun	previously  published 14C date	LlorenteScience2015	n/a (previously reported)	4472	"2575-2469 calBCE (3997±29 BP, OxA-29631)"	M / N	Ethiopia_4500BP.SG	Ethiopia_4500BP.SG	Yes	"Gamo Highlands, Mota Cave"	Ethiopia	Africa	6.797495	38.207852	M	L3x2a	11.289	1181617	PASS (Xcontam=0.0125)	..	..	minus	0	..	0	..	..	..		..
S_Ami-1.DG	NA13607	NA13607	n/a	S_Ami-1	Shotgun.diploid	no 14C date	MallickNature2016	n/a (modern)	0	present	PD	Ami.DG	Ami.DG	Yes	..	Taiwan	East Asia	22.843145	121.185356	M	..	36.74	1119534	PASS	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
S_Ami-2.DG	NA13616	NA13616	n/a	S_Ami-2	Shotgun.diploid	no 14C date	MallickNature2016	n/a (modern)	0	present	PD	Ami.DG	Ami.DG	Yes	..	Taiwan	East Asia	22.843145	121.185356	M	..	46.3	1119335	PASS	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
S_Atayal-1.DG	NA13604	NA13604	n/a	S_Atayal-1	Shotgun.diploid	no 14C date	MallickNature2016	n/a (modern)	0	present	PD	Atayal.DG	Atayal.DG	Yes	..	Taiwan	East Asia	24.611712	121.296444	M	..	37.18	1119388	PASS	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
S_Chukchi-1.DG	S_Chukchi-1	S_Chukchi-1	n/a	S_Chukchi-1	Shotgun.diploid	no 14C date	MallickNature2016	n/a (modern)	0	present	PD	Chukchi.DG	Chukchi.DG	Yes	"Sireniki, Chukchi Peninsula, First sampling location"	Russia	East Asia	69	169	M	..	47.09	1120162	PASS	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
S_Dai-1.DG	HGDP01314	HGDP01314	n/a	S_Dai-1	Shotgun.diploid	no 14C date	MallickNature2016	n/a (modern)	0	present	PD	Dai.DG	Dai.DG	Yes	..	China	East Asia	21	100	F	..	49.51	1119088	PASS	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
S_Dai-3.DG	HGDP01315	HGDP01315	n/a	S_Dai-3	Shotgun.diploid	no 14C date	MallickNature2016	n/a (modern)	0	present	PD	Dai.DG	Dai.DG	Yes	..	China	East Asia	21	100	F	..	39.05	1107190	PASS	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
A_Dai-5.DG	A_Dai-5	A_Dai-5	n/a	A_Dai-5	Shotgun.diploid	no 14C date	MeyerScience2012	n/a (modern)	0	present	PD	Dai.DG	Dai.DG	Yes	..	China	East Asia	21	100	M	..	28.31	1150277	PASS 	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
S_Dai-2.DG	HGDP01312	HGDP01312	n/a	S_Dai-2	Shotgun.diploid	no 14C date	MallickNature2016	n/a (modern)	0	present	PD	Dai.DG	Dai.DG	Yes	..	China	East Asia	21	100	M	..	39.75	1119289	PASS	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
B_Dai-4.DG	HGDP01308	HGDP01308	n/a	B_Dai-4	Shotgun.diploid	no 14C date	PrueferNature2013	n/a (modern)	0	present	PD	Dai.DG	Dai.DG	Yes	..	China	East Asia	21	100	M	..	39.22	1117410	PASS (SGDP version of published data)	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
S_Han-1.DG	HGDP00783	HGDP00783	n/a	S_Han-1	Shotgun.diploid	no 14C date	MallickNature2016	n/a (modern)	0	present	PD	Han.DG	Han.DG	Yes	..	China	East Asia	32.26566812	114	F	..	68.83	1119545	PASS	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
A_Han-4.DG	A_Han-4	A_Han-4	n/a	A_Han-4	Shotgun.diploid	no 14C date	MeyerScience2012	n/a (modern)	0	present	PD	Han.DG	Han.DG	Yes	..	China	East Asia	32.26566812	114	M	..	27.74	1150264	PASS 	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
B_Han-3.DG	HGDP00775	HGDP00775	n/a	B_Han-3	Shotgun.diploid	no 14C date	PrueferNature2013	n/a (modern)	0	present	PD	Han.DG	Han.DG	Yes	..	China	East Asia	32.26566812	114	M	..	37.72	1118654	PASS (SGDP version of published data)	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
S_Han-2.DG	HGDP00785	HGDP00785	n/a	S_Han-2	Shotgun.diploid	no 14C date	MallickNature2016	n/a (modern)	0	present	PD	Han.DG	Han.DG	Yes	..	China	East Asia	48.49753416	124	M	..	42.36	1117128	PASS	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
T_Sherpa-2.DG	T_Sherpa-2	T_Sherpa-2	n/a	T_Sherpa-2	Shotgun.diploid	no 14C date	MallickNature2016	n/a (previously reported)	0	present	PD	Sherpa.DG	Sherpa.DG	Yes	Khumbu	Nepal	East Asia	27.81666667	86.66666667	F	..	48.89	1119027	PASS	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
T_Sherpa-1.DG	T_Sherpa-1	T_Sherpa-1	n/a	T_Sherpa-1	Shotgun.diploid	no 14C date	MallickNature2016	n/a (previously reported)	0	present	PD	Sherpa.DG	Sherpa.DG	Yes	Khumbu	Nepal	East Asia	27.81666667	86.66666667	M	..	31.97	1119020	PASS	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
Uyghurs1.DG	Uyghurs1	..	..	..	Shotgun.diploid	no 14C date	DamgaardScience2018	n/a (previously reported)	0	present	PD	Uyghurs.DG	Uyghurs.DG	Yes	..	..	East Asia	..	..	U	..	..	1181828	PASS	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
Uyghurs2.DG	Uyghurs2	..	..	..	Shotgun.diploid	no 14C date	DamgaardScience2018	n/a (previously reported)	0	present	PD	Uyghurs.DG	Uyghurs.DG	Yes	..	..	East Asia	..	..	U	..	..	1181744	PASS	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
Uyghurs3.DG	Uyghurs3	..	..	..	Shotgun.diploid	no 14C date	DamgaardScience2018	n/a (previously reported)	0	present	PD	Uyghurs.DG	Uyghurs.DG	Yes	..	..	East Asia	..	..	U	..	..	1181850	PASS	n/a (modern)	n/a (modern)	n/a	0	..	0	..	..	..		..
DA339.SG	DA339	Grave 111	tooth	..	Shotgun	previously  published 14C date	DamgaardScience2018	n/a (previously reported)	4040	2199-1980 calBCE (3700±33 BP)	BA	Shamanka_EBA.SG	Shamanka_EBA.SG	Yes	Shamanka II	Russia	East Asia	51.698333	103.703056	M	G2a1	0.3	254062	PASS	..	..	minus	0	..	0	..	..	..		..
DA334.SG	DA334	Grave 107	tooth	..	Shotgun	previously  published 14C date	DamgaardScience2018	n/a (previously reported)	4121	2281-2061 calBCE (3764±20 BP)	BA	Shamanka_EBA.SG	Shamanka_EBA.SG	Yes	Shamanka II	Russia	East Asia	51.698333	103.703056	M	C4a2a1	0.5	400753	PASS	..	..	minus	0	..	0	..	..	..		..
DA335.SG	DA335	Grave 5	tooth	..	Shotgun	no 14C date	DamgaardScience2018	n/a (previously reported)	4200	2500-2000 BCE	BA	Shamanka_EBA.SG	Shamanka_EBA.SG	Yes	Shamanka II	Russia	East Asia	51.698333	103.703056	M	F1b1b	0.5	370400	PASS	..	..	minus	0	..	0	..	..	..		..
DA336.SG	DA336	Grave 3	tooth	..	Shotgun	no 14C date	DamgaardScience2018	n/a (previously reported)	4200	2500-2000 BCE	BA	Shamanka_EBA.SG	Shamanka_EBA.SG	Yes	Shamanka II	Russia	East Asia	51.698333	103.703056	M	C4a2a1	0.7	483510	PASS	..	..	minus	0	..	0	..	..	..		..
DA338.SG	DA338	Grave 2	tooth	..	Shotgun	no 14C date	DamgaardScience2018	n/a (previously reported)	4200	2500-2000 BCE	BA	Shamanka_EBA.SG	Shamanka_EBA.SG	Yes	Shamanka II	Russia	East Asia	51.698333	103.703056	M	C4a2a1	0.4	338777	PASS	..	..	minus	0	..	0	..	..	..		..
DA337.SG	DA337	Grave 9	tooth	..	Shotgun	previously  published 14C date	DamgaardScience2018	n/a (previously reported)	4331	2462-2299 calBCE (3886±21 BP)	BA	Shamanka_EBA.SG	Shamanka_EBA.SG	Yes	Shamanka II	Russia	East Asia	51.698333	103.703056	M	C4a1a3	1.1	685820	PASS	..	..	minus	0	..	0	..	..	..		..
DA362.SG	DA362	Grave 49-1	tooth	..	Shotgun	previously  published 14C date	DamgaardScience2018	n/a (previously reported)	7242	"5362-5221 calBCE (6319±33 BP, OxA-24793)"	N	ESHG	Shamanka_EN.SG	Yes	Shamanka II	Russia	East Asia	51.698333	103.703056	M	D4e1	1.1	656345	PASS	..	..	minus	0	..	0	..	..	..		..
DA253.SG	DA253	Grave 7	tooth	..	Shotgun	previously  published 14C date	DamgaardScience2018	n/a (previously reported)	7246	"5371-5221 calBCE (6329±33 BP, OxA-20562)"	N	ESHG	Shamanka_EN.SG	Yes	Shamanka II	Russia	East Asia	51.698333	103.703056	F	F1b1+@152	2.7	997054	PASS	n/a (female)	n/a (female)	minus	0	..	0	..	..	..		..
DA251.SG	DA251	Grave 108-3	tooth	..	Shotgun	previously  published 14C date	DamgaardScience2018	n/a (previously reported)	7336	"5468-5304 calBCE (6373±32 BP, OxA-21503)"	N	ESHG	Shamanka_EN.SG	Yes	Shamanka II	Russia	East Asia	51.698333	103.703056	M	D4j	0.6	427597	PASS	..	..	minus	0	..	0	..	..	..		..
DA252.SG	DA252	Grave 42-1	tooth	..	Shotgun	previously  published 14C date	DamgaardScience2018	n/a (previously reported)	7341	"5469-5312 calBCE (6386±34 BP, OxA-26192)"	N	ESHG	Shamanka_EN.SG	Yes	Shamanka II	Russia	East Asia	51.698333	103.703056	F	G2a1	2.4	967308	PASS	n/a (female)	n/a (female)	minus	0	..	0	..	..	..		..
DA250.SG	DA250	Grave 6	tooth	..	Shotgun	previously  published 14C date	DamgaardScience2018	n/a (previously reported)	7392	"5516-5367 calBCE (6483±37 BP, OxA-27054)"	N	ESHG	Shamanka_EN.SG	Yes	Shamanka II	Russia	East Asia	51.698333	103.703056	M	G2a1	0.9	586546	PASS	..	..	minus	0	..	0	..	..	..		..
DA248.SG	DA248	Grave 63-1	tooth	..	Shotgun	previously  published 14C date	DamgaardScience2018	n/a (previously reported)	7645	"5755-5635 calBCE (6815±38 BP, OxA-25327)"	N	ESHG	Shamanka_EN.SG	Yes	Shamanka II	Russia	East Asia	51.698333	103.703056	M	C4	2.3	980937	PASS	..	..	minus	0	..	0	..	..	..		..
DA247.SG	DA247	Grave 51	tooth	..	Shotgun	previously  published 14C date	DamgaardScience2018	n/a (previously reported)	7701	"5837-5664 calBCE (6856±40 BP, OxA-21526)"	N	ESHG	Shamanka_EN.SG	Yes	Shamanka II	Russia	East Asia	51.698333	103.703056	M	C4	2.4	993217	PASS	..	..	minus	0	..	0	..	..	..		..
DA246.SG	DA246	Grave 42-2	tooth	..	Shotgun	previously  published 14C date	DamgaardScience2018	n/a (previously reported)	7727	"5877-5676 calBCE (6886±43 BP, OxA-24774)"	N	ESHG	Shamanka_EN.SG	Yes	Shamanka II	Russia	East Asia	51.698333	103.703056	F	D4e1	2.9	1020382	PASS	n/a (female)	n/a (female)	minus	0	..	0	..	..	..		..
DA249.SG	DA249	Grave 66-1	tooth	..	Shotgun	previously  published 14C date	DamgaardScience2018	n/a (previously reported)	7840	"5988-5791 calBCE (7005±40 BP, OxA-21535)"	N	ESHG	Shamanka_EN.SG	Yes	Shamanka II	Russia	East Asia	51.698333	103.703056	F	C4	4.5	1113894	PASS	n/a (female)	n/a (female)	minus	0	..	0	..	..	..		..
DA245.SG	DA245	Grave 76	tooth	..	Shotgun	previously  published 14C date	DamgaardScience2018	n/a (previously reported)	7941	"6065-5916 calBCE (7123±37 BP, OxA-26456)"	N	ESHG	Shamanka_EN.SG	Yes	Shamanka II	Russia	East Asia	51.698333	103.703056	M	G2a1	2.2	951406	PASS	..	..	minus	0	..	0	..	..	..		..
Tianyuan	Tianyuan	Tianyuan	bone	..	1240K	previously published 14C date	YangCurrentBiology2017	n/a (previously reported)	39475	"36880-38170 calBCE (34430±510 BP, BA-03222)"	UP	Tianyuan	Tianyuan	Yes	Tianyuan	China	East Asia	39.39	115.52	M	..	4.754	901237	PASS	..	..	..	0	..	0	..	..	..		..
I7279	I7279	BRAN_74	petrous	S7279.E1.L1	1240K	no 14C date	OlaldeNature2018	n/a (previously reported)	4200	2500-2000 BCE	MLBA	Western_Steppe_MLBA	Corded_Ware_Czech	Yes	Brandysek	Czech Republic	Europe	50.19	14.158	M	H7d	1.095572	636343	PASS	..	..	half	0	..	0	..	..	..		..
I7280	I7280	BRAN_78	petrous	S7280.E1.L1	1240K	no 14C date	OlaldeNature2018	n/a (previously reported)	4200	2500-2000 BCE	MLBA	Western_Steppe_MLBA	Corded_Ware_Czech	Yes	Brandysek	Czech Republic	Europe	50.19	14.158	M	W5a	3.362758	780479	PASS (Xcontam=0.006)	..	..	half	0	..	0	..	..	..		..
I1540	I1540	ESP28	tooth	S1540.L1	1240K	no 14C date	MathiesonNature2015	n/a (previously reported)	4225	2500-2050 BCE	MLBA	Corded_Ware_Germany_o	Corded_Ware_Germany_o	Yes	Esperstedt	Germany	Europe	51.42	11.68	M	J1c5	0.298	285866	PASS	..	..	half	0	..	0	..	..	..		..
I7209	I7209	RDVS_5/79	petrous	S7209.E1.L1	1240K	"2458-2207 calBCE (3850±25 BP, PSUAMS-4026)"	This study	Petr Veleminsky	4283	"2458-2207 calBCE (3850±25 BP, PSUAMS-4026)"	MLBA	Western_Steppe_MLBA	Corded_Ware_Czech_EN	Yes	Radovesice	Czech Republic	Europe	50.410265	14.074597	M	J1c2	4.120915	869434	PASS (Xcontam=0.009)	..	..	half	1	..	1	Yes	..	..		..
I7208	I7208	RDVS_40/78	petrous	S7208.E1.L1	1240K	"2464-2295 calBCE (3885±25 BP, PSUAMS-3888)"	This study	Petr Veleminsky	4330	"2464-2295 calBCE (3885±25 BP, PSUAMS-3888)"	MLBA	Western_Steppe_MLBA	Corded_Ware_Czech_EN	Yes	Radovesice	Czech Republic	Europe	50.410265	14.074597	M	U5a1b	1.96227	811518	PASS (Xcontam=0.006)	..	..	half	1	..	1	Yes	..	..		..
I7207	I7207	RDVS_04/81	petrous	S7207.E1.L1	1240K	"2559-2340 calBCE (3935±25 BP, PSUAMS-3887)"	This study	Petr Veleminsky	4400	"2559-2340 calBCE (3935±25 BP, PSUAMS-3887)"	MLBA	Western_Steppe_MLBA	Corded_Ware_Czech_EN	Yes	Radovesice	Czech Republic	Europe	50.410265	14.074597	M	W3a1	1.863154	789641	PASS (Xcontam=0.008)	..	..	half	1	..	1	Yes	..	..		..
MA971.SG	Kunila1	Kunila1	tooth	..	Shotgun	no 14C date	SaagCurrentBiology2017	n/a (previously reported)	4400	2850-2050 BCE	MLBA	Corded_Ware_Estonia.SG	Corded_Ware_Estonia.SG	Yes	"Kursi, Jõgeva"	Estonia	Europe	..	..	M	U5b1b	0.506932	470945	PASS	..	..	minus	0	..	0	..	..	..		..
MA973.SG	Kunila2	Kunila2	tooth	..	Shotgun	previously  published 14C date	SaagCurrentBiology2017	n/a (previously reported)	4408	"2576-2340 calBCE (3960±40 BP, Poz-10825)"	MLBA	Corded_Ware_Estonia.SG	Corded_Ware_Estonia.SG	Yes	"Kursi, Jõgeva"	Estonia	Europe	..	..	M	J1c3	1.699974	882294	PASS	..	..	minus	0	..	0	..	..	..		..
MA826.RISE00.SG	Sope	Sope	tooth	..	Shotgun	previously  published 14C date	SaagCurrentBiology2017.merge.with.AllentoftNature2015	n/a (previously reported)	4413	"2575-2350 calBCE (3969±32 BP, UBA-29064)"	MLBA	Corded_Ware_Estonia.SG	Corded_Ware_Estonia.SG	Yes	"Jäbara, Ida-Viru, Sope"	Estonia	Europe	59.408	27.026	F	H5a1	0.799	626916	PASS (literature.merge)	n/a (female)	n/a (female)	minus	0	..	0	..	..	..		..
I7949	I7949	BILI_7958	petrous	S7949.E1.L1	1240K	no 14C date	This study	Petr Veleminsky	4575	2900-2350 BCE	MLBA	Bilina_BA	Bilina_BA	Yes	Bilina	Czech Republic	Europe	50.548056	13.776111	M	U5a1i1	5.470052	857331	PASS (Xcontam=0.005)	..	..	half	0	Try	1	Yes	..	..		..
I6677	I6677	BILI_4	petrous (CBD)	S6677.E1.L1	1240K	no 14C date	This study	Petr Veleminsky	4575	2900-2350 BCE	MLBA	Bilina_N_Baalberge	Bilina_N_Baalberge	Yes	Bilina	Czech Republic	Europe	50.548056	13.776111	M	T2b	3.488173	873182	PASS (Xcontam=0.005)	..	..	half	0	..	1	Yes	..	..		..
I6695	I6695	BILI_139	petrous (CBD)	S6695.E1.L1	1240K	no 14C date	This study	Petr Veleminsky	4575	2900-2350 BCE	MLBA	Western_Steppe_MLBA	Corded_Ware_Czech_EN	Yes	Bilina	Czech Republic	Europe	50.548056	13.776111	F	H2a3	3.718326	818786	PASS	n/a (female)	n/a (female)	half	0	..	1	Yes	..	..		..
I6696	I6696	VEZE_27	petrous (CBD)	S6696.E1.L1	1240K	no 14C date	This study	Petr Veleminsky	4575	2900-2350 BCE	MLBA	Western_Steppe_MLBA	Corded_Ware_Czech_EN	Yes	Velke Zernoseky	Czech Republic	Europe	50.542896	14.065942	M	H2a1	3.161274	850315	PASS (Xcontam=0.006)	..	..	half	0	Priority (but nothing left in lab)	1	Yes	..	..		..
MA969.SG	Ardu2	Ardu2	tooth	..	Shotgun	previously  published 14C date	SaagCurrentBiology2017	n/a (previously reported)	4638	"2871-2505 calBCE (4110±40 BP, Poz-10824)"	MLBA	Corded_Ware_Estonia.SG	Corded_Ware_Estonia.SG	Yes	"Ardu, Harju"	Estonia	Europe	..	..	M	U5b2c	0.848372	634794	PASS	..	..	minus	0	..	0	..	..	..		..
MA968.MA976.SG	Ardu1	Ardu1	tooth	..	Shotgun	previously  published 14C date	SaagCurrentBiology2017	n/a (previously reported)	4638	"2871-2505 calBCE (4110±40 BP, Poz-10824)"	MLBA	Corded_Ware_Estonia.SG	Corded_Ware_Estonia.SG	Yes	"Ardu, Harju"	Estonia	Europe	..	..	M	T2a1	0.61196	540176	PASS (literature.merge)	..	..	minus	0	..	0	..	..	..		..
I2403	I2403	3.4	bone (long bone)	S2403.E1.L1	1240K	previously published 14C date	MathiesonNature2018	n/a (previously reported)	4673	"2870-2575 calBCE (4120±30 BP, Beta-430712)"	C / EN	Globular_Amphora	Globular_Amphora	Yes	Kierzkowo	Poland	Europe	52.85	17.88333333	M	U5b2b1	0.318	290049	PASS	..	..	half	0	..	0	..	..	..		..
I1497	I1497	"HUNG353, CO1"	petrous	S1497.E1.L1	1240K	previously  published 14C date	MathiesonNature2015 (capture of same sample shotgunned in Gamba2014)	n/a (previously reported)	4750	"2900-2700 calBCE (4421±27 BP, MAMS-14825)"	C / EN	Baden_LCA	Baden_LCA	Yes	Apc-Berekalya I	Hungary	Europe	47.167	19.833	F	H	4.563	813947	PASS	n/a (female)	n/a (female)	half	0	..	0	..	..	..		..
ILK003	ILK003	ILK003	..	..	1240K	previously  published 14C date	MathiesonNature2018	n/a (previously reported)	4752	"2900-2709 calBCE (4225±22 BP, MAMS-30074)"	C / EN	Globular_Amphora	Globular_Amphora_Ukraine	Yes	Ilatka	Ukraine	Europe	..	..	F	..	4.635	869552	PASS	n/a (female)	n/a (female)	half	0	..	0	..	..	..		..
ILK002	ILK002	ILK002	..	..	1240K	previously  published 14C date	MathiesonNature2018	n/a (previously reported)	4752	"2890-2694 calBCE (4192±22 BP, MAMS-30073)"	C / EN	Globular_Amphora	Globular_Amphora_Ukraine	Yes	Ilatka	Ukraine	Europe	..	..	M	..	5.336	926361	PASS	..	..	half	0	..	0	..	..	..		..
ILK001	ILK001	ILK001	..	..	1240K	previously  published 14C date	MathiesonNature2018	n/a (previously reported)	4753	"2899-2706 calBCE (4221±22 BP, MAMS-30072)"	C / EN	Globular_Amphora	Globular_Amphora_Ukraine	Yes	Ilatka	Ukraine	Europe	..	..	M	..	4.302	900165	PASS	..	..	half	0	..	0	..	..	..		..
I2433	I2433	5.1	bone	S2433.E1.L1	1240K	no 14C date	MathiesonNature2018	n/a (previously reported)	4950	"3100-2900 BCE (mother to directly dated I2407: 3095-2915 calBCE (4390±30 BP, Beta-430714)"	C / EN	Globular_Amphora	Globular_Amphora	Yes	Kierzkowo	Poland	Europe	52.85	17.88333333	F	H28	0.97	528330	PASS	n/a (female)	n/a (female)	half	0	..	0	..	..	..		..
I2440	I2440	7.6	bone (long bone)	S2440.E1.L1	1240K	no 14C date	MathiesonNature2018	n/a (previously reported)	4950	"3100-2900 BCE (father to directly dated I2407: 3095-2915 calBCE (4390±30 BP, Beta-430714)"	C / EN	Globular_Amphora	Globular_Amphora	Yes	Kierzkowo	Poland	Europe	52.85	17.88333333	M	H1b	0.196	189493	PASS	..	..	half	0	..	0	..	..	..		..
I2763	I2763	Vors1	tooth (molar)	S2763.L1	1240K	no 14C date	LipsonNature2017	n/a (previously reported)	5025	3300-2850 BCE	C / EN	Baden_LCA	Baden_LCA	Yes	Vörs	Hungary	Europe	46.665765	17.270774	F	T2f	0.025	29086	PASS	n/a (female)	n/a (female)	half	0	..	0	..	..	..		..
I2368	I2368	GEN14a	petrous	S2368.L1	1240K	no 14C date	LipsonNature2017	n/a (previously reported)	5025	3300-2850 BCE	C / EN	Baden_LCA	Baden_LCA	Yes	"Budakalász, Luppa csárda"	Hungary	Europe	47.62094	19.04494	M	U5b	0.07	79059	QUESTIONABLE_CRITICAL (mtcontam=0.408)	..	..	half	0	..	0	..	..	..		..
I2434	I2434	5.3	bone (cranial)	S2434.E1.L1	1240K	no 14C date	MathiesonNature2018	n/a (previously reported)	5050	3400-2800 BCE	C / EN	Globular_Amphora	Globular_Amphora	Yes	Kierzkowo	Poland	Europe	52.85	17.88333333	F	U5b1d1	0.107	112399	PASS	n/a (female)	n/a (female)	half	0	..	0	..	..	..		..
I2441	I2441	8.5	bone	S2441.E1.L1	1240K	no 14C date	MathiesonNature2018	n/a (previously reported)	5050	3400-2800 BCE	C / EN	Globular_Amphora	Globular_Amphora	Yes	Kierzkowo	Poland	Europe	52.85	17.88333333	M	K1b1a1	0.752	510373	PASS	..	..	half	0	..	0	..	..	..		..
I2367	I2367	GEN13a	petrous	"S2367.L1,S6081.E1.L1"	1240K	previously published 14C date	LipsonNature2017	n/a (previously reported)	5081	"3332-2929 calBCE (4440±35 BP, Poz-88228)"	C / EN	Baden_LCA	Baden_LCA	Yes	"Budakalász, Luppa csárda"	Hungary	Europe	47.62094	19.04494	M	HV	3.181	908256	"QUESTIONABLE (Xcontam=0.006, damage=0.014-0.133)"	..	..	"half,half"	0	..	0	..	..	..		..
I2753	I2753	GEN22	petrous	S2753.L1	1240K	previously published 14C date	LipsonNature2017	n/a (previously reported)	5081	"3332-2929 calBCE (4440±35 BP, Poz-88231)"	C / EN	Baden_LCA	Baden_LCA	Yes	"Balatonlelle, Fels-Gamász"	Hungary	Europe	46.78469	17.731714	M	U5a1	2.306	867336	"PASS (Xcontam=0.006, mtcontam=0.977)"	..	..	half	0	..	0	..	..	..		..
I2366	I2366	GEN12a	petrous	"S2366.L1,S3540.L2,S6080.E1.L1"	1240K	previously published 14C date	LipsonNature2017	n/a (previously reported)	5093	"3340-2945 calBCE (4455±35 BP, Poz-88227)"	C / EN	Baden_LCA	Baden_LCA	Yes	"Budakalász, Luppa csárda"	Hungary	Europe	47.62094	19.04494	M	H26a	6.378	1032010	"PASS (Xcontam=0.007, mtcontam=0.956-0.985)"	..	..	"half,half"	0	..	0	..	..	..		..
I2370	I2370	GEN16a	petrous	S2370.L1	1240K	previously published 14C date	LipsonNature2017	n/a (previously reported)	5096	"3346-2945 calBCE (4460±40 BP, Poz-88230)"	C / EN	Baden_LCA	Baden_LCA	Yes	Alsonemedi	Hungary	Europe	47.31875	19.16692	F	T2b	4.3	852351	PASS	n/a (female)	n/a (female)	half	0	..	0	..	..	..		..
I2405_published	I2405	8.2a	bone (long bone)	S2405.E1.L1	1240K	previously published 14C date	MathiesonNature2018	n/a (previously reported)	5128	"3335-3020 calBCE (4460±30 BP, Beta-430713)"	C / EN	Globular_Amphora	Globular_Amphora	Yes	Kierzkowo	Poland	Europe	52.85	17.88333333	M	W5	0.082	91505	PASS (mtcontam=0.975)	..	..	half	0	..	0	..	..	..		..
