Sample_ID	Component	Value	K
BOT14.SG	V1	0.665209	6
BOT14.SG	V2	0.334751	6
BOT14.SG	V3	1.00E-05	6
BOT14.SG	V4	1.00E-05	6
BOT14.SG	V5	1.00E-05	6
BOT14.SG	V6	1.00E-05	6
BOT14.SG	V1	1.00E-05	7
BOT14.SG	V2	1.00E-05	7
BOT14.SG	V3	0.895901	7
BOT14.SG	V4	1.00E-05	7
BOT14.SG	V5	0.104049	7
BOT14.SG	V6	1.00E-05	7
BOT14.SG	V7	1.00E-05	7
BOT14.SG	V1	1.00E-05	8
BOT14.SG	V2	1.00E-05	8
BOT14.SG	V3	1.00E-05	8
BOT14.SG	V4	1.00E-05	8
BOT14.SG	V5	0.89353	8
BOT14.SG	V6	1.00E-05	8
BOT14.SG	V7	0.10641	8
BOT14.SG	V8	1.00E-05	8
BOT14.SG	V1	1.40E-05	9
BOT14.SG	V2	1.00E-05	9
BOT14.SG	V3	1.00E-05	9
BOT14.SG	V4	1.00E-05	9
BOT14.SG	V5	0.073604	9
BOT14.SG	V6	1.00E-05	9
BOT14.SG	V7	1.00E-05	9
BOT14.SG	V8	1.00E-05	9
BOT14.SG	V9	0.926322	9
BOT15.SG	V1	1	1
BOT15.SG	V1	0.343418	2
BOT15.SG	V2	0.656582	2
BOT15.SG	V1	1.00E-05	3
BOT15.SG	V2	0.665866	3
BOT15.SG	V3	0.334124	3
BOT15.SG	V1	1.00E-05	4
BOT15.SG	V2	0.883391	4
BOT15.SG	V3	0.116589	4
BOT15.SG	V4	1.00E-05	4
BOT15.SG	V1	1.00E-05	5
BOT15.SG	V2	0.718988	5
BOT15.SG	V3	0.280982	5
BOT15.SG	V4	1.00E-05	5
BOT15.SG	V5	1.00E-05	5
BOT15.SG	V1	0.724138	6
BOT15.SG	V2	0.275822	6
BOT15.SG	V3	1.00E-05	6
BOT15.SG	V4	1.00E-05	6
BOT15.SG	V5	1.00E-05	6
BOT15.SG	V6	1.00E-05	6
BOT15.SG	V1	1.00E-05	7
BOT15.SG	V2	1.00E-05	7
BOT15.SG	V3	0.99994	7
BOT15.SG	V4	1.00E-05	7
BOT15.SG	V5	1.00E-05	7
BOT15.SG	V6	1.00E-05	7
BOT15.SG	V7	1.00E-05	7
BOT15.SG	V1	1.00E-05	8
BOT15.SG	V2	1.00E-05	8
BOT15.SG	V3	1.00E-05	8
BOT15.SG	V4	1.00E-05	8
BOT15.SG	V5	0.99993	8
BOT15.SG	V6	1.00E-05	8
BOT15.SG	V7	1.00E-05	8
BOT15.SG	V8	1.00E-05	8
BOT15.SG	V1	1.00E-05	9
BOT15.SG	V2	1.00E-05	9
BOT15.SG	V3	1.00E-05	9
BOT15.SG	V4	1.00E-05	9
BOT15.SG	V5	1.00E-05	9
BOT15.SG	V6	1.00E-05	9
BOT15.SG	V7	1.00E-05	9
BOT15.SG	V8	1.00E-05	9
BOT15.SG	V9	0.99992	9
BOT2016.SG	V1	1	1
BOT2016.SG	V1	0.336608	2
BOT2016.SG	V2	0.663392	2
BOT2016.SG	V1	1.00E-05	3
BOT2016.SG	V2	0.68053	3
BOT2016.SG	V3	0.31946	3
BOT2016.SG	V1	1.00E-05	4
BOT2016.SG	V2	0.90559	4
BOT2016.SG	V3	0.09439	4
BOT2016.SG	V4	1.00E-05	4
BOT2016.SG	V1	1.00E-05	5
BOT2016.SG	V2	0.674299	5
BOT2016.SG	V3	0.325671	5
BOT2016.SG	V4	1.00E-05	5
BOT2016.SG	V5	1.00E-05	5
BOT2016.SG	V1	0.67826	6
BOT2016.SG	V2	0.321697	6
BOT2016.SG	V3	1.00E-05	6
BOT2016.SG	V4	1.00E-05	6
BOT2016.SG	V5	1.30E-05	6
BOT2016.SG	V6	1.00E-05	6
BOT2016.SG	V1	1.00E-05	7
BOT2016.SG	V2	1.00E-05	7
BOT2016.SG	V3	0.934112	7
BOT2016.SG	V4	1.00E-05	7
BOT2016.SG	V5	0.065838	7
BOT2016.SG	V6	1.00E-05	7
BOT2016.SG	V7	1.00E-05	7
BOT2016.SG	V1	1.00E-05	8
BOT2016.SG	V2	1.00E-05	8
BOT2016.SG	V3	1.00E-05	8
BOT2016.SG	V4	1.00E-05	8
BOT2016.SG	V5	0.932302	8
BOT2016.SG	V6	1.00E-05	8
BOT2016.SG	V7	0.067638	8
BOT2016.SG	V8	1.00E-05	8
BOT2016.SG	V1	1.00E-05	9
BOT2016.SG	V2	1.00E-05	9
BOT2016.SG	V3	1.00E-05	9
BOT2016.SG	V4	1.00E-05	9
BOT2016.SG	V5	1.00E-05	9
BOT2016.SG	V6	1.00E-05	9
BOT2016.SG	V7	1.00E-05	9
BOT2016.SG	V8	1.00E-05	9
BOT2016.SG	V9	0.99992	9
DA231.SG	V1	1	1
DA231.SG	V1	0.438554	2
DA231.SG	V2	0.561446	2
DA231.SG	V1	0.335627	3
DA231.SG	V2	0.29419	3
DA231.SG	V3	0.370183	3
DA231.SG	V1	1.00E-05	4
DA231.SG	V2	0.394072	4
DA231.SG	V3	0.170467	4
DA231.SG	V4	0.43545	4
DA231.SG	V1	0.370266	5
DA231.SG	V2	0.554676	5
DA231.SG	V3	0.017582	5
DA231.SG	V4	0.057466	5
DA231.SG	V5	1.00E-05	5
DA231.SG	V1	0.547665	6
DA231.SG	V2	0.025409	6
DA231.SG	V3	1.00E-05	6
DA231.SG	V4	0.055958	6
DA231.SG	V5	1.00E-05	6
DA231.SG	V6	0.370947	6
DA231.SG	V1	0.012251	7
DA231.SG	V2	0.126702	7
DA231.SG	V3	0.011515	7
DA231.SG	V4	1.00E-05	7
DA231.SG	V5	0.042125	7
DA231.SG	V6	0.807387	7
DA231.SG	V7	1.00E-05	7
DA231.SG	V1	0.145028	8
DA231.SG	V2	1.00E-05	8
DA231.SG	V3	1.00E-05	8
DA231.SG	V4	0.023171	8
DA231.SG	V5	1.00E-05	8
DA231.SG	V6	0.699513	8
DA231.SG	V7	1.00E-05	8
DA231.SG	V8	0.132248	8
DA231.SG	V1	1.00E-05	9
DA231.SG	V2	1.00E-05	9
DA231.SG	V3	1.00E-05	9
DA231.SG	V4	0.728933	9
DA231.SG	V5	1.00E-05	9
DA231.SG	V6	0.004004	9
DA231.SG	V7	0.051972	9
DA231.SG	V8	0.154315	9
DA231.SG	V9	0.060736	9
DA245.SG	V1	1	1
DA245.SG	V1	0.059625	2
DA245.SG	V2	0.940375	2
DA245.SG	V1	1.00E-05	3
DA245.SG	V2	0.900396	3
DA245.SG	V3	0.099594	3
DA245.SG	V1	1.00E-05	4
DA245.SG	V2	0.99997	4
DA245.SG	V3	1.00E-05	4
DA245.SG	V4	1.00E-05	4
DA245.SG	V1	1.00E-05	5
DA245.SG	V2	1.00E-05	5
DA245.SG	V3	0.99996	5
DA245.SG	V4	1.00E-05	5
DA245.SG	V5	1.00E-05	5
DA245.SG	V1	1.00E-05	6
DA245.SG	V2	0.99995	6
DA245.SG	V3	1.00E-05	6
DA245.SG	V4	1.00E-05	6
DA245.SG	V5	1.00E-05	6
DA245.SG	V6	1.00E-05	6
DA245.SG	V1	1.00E-05	7
DA245.SG	V2	1.00E-05	7
DA245.SG	V3	1.00E-05	7
DA245.SG	V4	1.00E-05	7
DA245.SG	V5	0.99994	7
DA245.SG	V6	1.00E-05	7
DA245.SG	V7	1.00E-05	7
DA245.SG	V1	1.00E-05	8
DA245.SG	V2	1.00E-05	8
DA245.SG	V3	1.00E-05	8
DA245.SG	V4	1.00E-05	8
DA245.SG	V5	1.00E-05	8
DA245.SG	V6	1.00E-05	8
DA245.SG	V7	0.99993	8
DA245.SG	V8	1.00E-05	8
DA245.SG	V1	1.00E-05	9
DA245.SG	V2	1.00E-05	9
DA245.SG	V3	1.00E-05	9
DA245.SG	V4	1.00E-05	9
DA245.SG	V5	0.999919	9
DA245.SG	V6	1.00E-05	9
DA245.SG	V7	1.00E-05	9
DA245.SG	V8	1.10E-05	9
DA245.SG	V9	1.00E-05	9
DA246.SG	V1	1	1
DA246.SG	V1	0.075259	2
DA246.SG	V2	0.924741	2
DA246.SG	V1	1.00E-05	3
DA246.SG	V2	0.895255	3
DA246.SG	V3	0.104735	3
DA246.SG	V1	1.00E-05	4
DA246.SG	V2	0.99997	4
DA246.SG	V3	1.00E-05	4
DA246.SG	V4	1.00E-05	4
DA246.SG	V1	1.00E-05	5
DA246.SG	V2	1.00E-05	5
DA246.SG	V3	0.99996	5
DA246.SG	V4	1.00E-05	5
DA246.SG	V5	1.00E-05	5
DA246.SG	V1	1.00E-05	6
DA246.SG	V2	0.99995	6
DA246.SG	V3	1.00E-05	6
DA246.SG	V4	1.00E-05	6
DA246.SG	V5	1.00E-05	6
DA246.SG	V6	1.00E-05	6
DA246.SG	V1	1.00E-05	7
DA246.SG	V2	1.00E-05	7
DA246.SG	V3	1.00E-05	7
DA246.SG	V4	1.00E-05	7
DA246.SG	V5	0.999934	7
DA246.SG	V6	1.60E-05	7
DA246.SG	V7	1.00E-05	7
DA246.SG	V1	1.00E-05	8
DA246.SG	V2	1.00E-05	8
DA246.SG	V3	1.00E-05	8
DA246.SG	V4	1.00E-05	8
DA246.SG	V5	1.00E-05	8
DA246.SG	V6	1.00E-05	8
DA246.SG	V7	0.99993	8
DA246.SG	V8	1.00E-05	8
DA246.SG	V1	1.00E-05	9
DA246.SG	V2	1.00E-05	9
DA246.SG	V3	1.00E-05	9
DA246.SG	V4	1.00E-05	9
DA246.SG	V5	0.99992	9
DA246.SG	V6	1.00E-05	9
DA246.SG	V7	1.00E-05	9
DA246.SG	V8	1.00E-05	9
DA246.SG	V9	1.00E-05	9
DA247.SG	V1	1	1
DA247.SG	V1	0.063212	2
DA247.SG	V2	0.936788	2
DA247.SG	V1	1.00E-05	3
DA247.SG	V2	0.899507	3
DA247.SG	V3	0.100483	3
DA247.SG	V1	1.00E-05	4
DA247.SG	V2	0.99997	4
DA247.SG	V3	1.00E-05	4
DA247.SG	V4	1.00E-05	4
DA247.SG	V1	1.00E-05	5
DA247.SG	V2	1.00E-05	5
DA247.SG	V3	0.99996	5
DA247.SG	V4	1.00E-05	5
DA247.SG	V5	1.00E-05	5
DA247.SG	V1	1.00E-05	6
DA247.SG	V2	0.99995	6
DA247.SG	V3	1.00E-05	6
DA247.SG	V4	1.00E-05	6
DA247.SG	V5	1.00E-05	6
DA247.SG	V6	1.00E-05	6
DA247.SG	V1	1.00E-05	7
DA247.SG	V2	1.00E-05	7
DA247.SG	V3	1.00E-05	7
DA247.SG	V4	1.00E-05	7
DA247.SG	V5	0.99994	7
DA247.SG	V6	1.00E-05	7
DA247.SG	V7	1.00E-05	7
DA247.SG	V1	1.00E-05	8
DA247.SG	V2	1.00E-05	8
DA247.SG	V3	1.00E-05	8
DA247.SG	V4	1.00E-05	8
DA247.SG	V5	1.00E-05	8
DA247.SG	V6	1.00E-05	8
DA247.SG	V7	0.99993	8
DA247.SG	V8	1.00E-05	8
DA247.SG	V1	1.00E-05	9
DA247.SG	V2	1.00E-05	9
DA247.SG	V3	1.10E-05	9
DA247.SG	V4	1.00E-05	9
DA247.SG	V5	0.999919	9
DA247.SG	V6	1.00E-05	9
